"","pool","code","country","marst","relinc","sex","age","parent","employ","homemaker","degree","hswrk","respmom","famlife","index"
"3244","Keep All $ Separate","IN","India","Married","Man primary-earner","Female",39,"Parent","Not in labor force","Homemaker","Lower level tertiary",7,"No",6,0.61
"3245","Keep All $ Separate","IN","India","Married","Man primary-earner","Male",49,"Parent","Not in labor force","Homemaker","Lower secondary",5,"No",5,0.61
"3246","Keep All $ Separate","IN","India","Married","Man primary-earner","Male",39,"Parent","Not in labor force","Homemaker","Lower secondary",5,"No",7,0.61
"3247","Manage $ Together","IN","India","Cohab","Man primary-earner","Male",41,"Parent","Not in labor force","Homemaker","Upper secondary",11,"No",7,0.61
"3248","Keep All $ Separate","IN","India","Cohab","Man primary-earner","Male",36,"Parent","Not in labor force","Homemaker","No formal education",6,"Yes, she worked for pay",5,0.61
"3249","Keep All $ Separate","IN","India","Cohab","Woman primary-earner","Female",45,"Nonparent","Not in labor force","Homemaker","Post secondary",8,"Yes, she worked for pay",5,0.61
"3250","Keep Some $ Separate","IN","India","Married","Man primary-earner","Male",43,"Parent","Not in labor force","Homemaker","Lower level tertiary",6,"Yes, she worked for pay",5,0.61
"3251","Keep All $ Separate","IN","India","Married","Man primary-earner","Male",42,"Parent","Not in labor force","Homemaker","No formal education",4,"No",3,0.61
"3252","Keep All $ Separate","IN","India","Married","Man primary-earner","Male",38,"Parent","Not in labor force","Homemaker","No formal education",5,"No",3,0.61
"3253","Keep Some $ Separate","IN","India","Married","Woman primary-earner","Female",35,"Parent","Not in labor force","Homemaker","No formal education",6,"No",3,0.61
"3254","Keep All $ Separate","IN","India","Married","Woman primary-earner","Female",44,"Parent","Not in labor force","Homemaker","No formal education",8,"No",4,0.61
"3255","Keep Some $ Separate","IN","India","Married","Man primary-earner","Male",27,"Parent","Not in labor force","Homemaker","Lower secondary",6,"Yes, she worked for pay",4,0.61
"3256","Keep Some $ Separate","IN","India","Married","Man primary-earner","Male",34,"Parent","Fulltime","Homemaker","Upper level tertiary",7,"Yes, she worked for pay",6,0.61
"3257","Keep All $ Separate","IN","India","Cohab","Man primary-earner","Male",26,"Parent","Not in labor force","Homemaker","No formal education",7,"No",5,0.61
"3258","Keep All $ Separate","IN","India","Married","Man primary-earner","Male",32,"Parent","Not in labor force","Homemaker","Lower secondary",7,"No",5,0.61
"3259","Keep All $ Separate","IN","India","Cohab","Man primary-earner","Male",30,"Parent","Not in labor force","Homemaker","No formal education",7,"No",5,0.61
"3260","Keep All $ Separate","IN","India","Married","Man primary-earner","Male",48,"Parent","Not in labor force","Homemaker","No formal education",9,"No",5,0.61
"3261","Keep All $ Separate","IN","India","Married","Man primary-earner","Male",54,"Parent","Not in labor force","Homemaker","Lower secondary",7,"No",5,0.61
"3262","Keep All $ Separate","IN","India","Married","Equal-earners","Female",38,"Parent","Not in labor force","Other","Lower secondary",10,"No",5,0.61
"3263","Keep All $ Separate","IN","India","Cohab","Equal-earners","Male",25,"Parent","Not in labor force","Homemaker","Lower secondary",3,"No",4,0.61
"3264","Keep All $ Separate","IN","India","Cohab","Equal-earners","Male",29,"Parent","Not in labor force","Homemaker","Lower secondary",3,"No",4,0.61
"3265","Keep All $ Separate","IN","India","Cohab","Equal-earners","Male",25,"Parent","Not in labor force","Homemaker","Lower secondary",3,"No",4,0.61
"3266","Keep All $ Separate","IN","India","Cohab","Equal-earners","Female",22,"Parent","Not in labor force","Other","Lower secondary",9,"No",4,0.61
"3267","Keep All $ Separate","IN","India","Cohab","Equal-earners","Male",24,"Parent","Not in labor force","Homemaker","Lower secondary",5,"No",6,0.61
"3268","Keep All $ Separate","IN","India","Cohab","Equal-earners","Male",20,"Parent","Not in labor force","Homemaker","Lower secondary",5,"No",6,0.61
"3269","Keep All $ Separate","IN","India","Cohab","Man primary-earner","Male",45,"Parent","Not in labor force","Homemaker","Lower secondary",3,"No",5,0.61
"3270","Keep All $ Separate","IN","India","Married","Man primary-earner","Male",45,"Parent","Not in labor force","Homemaker","Lower secondary",6,"No",5,0.61
"3271","Keep All $ Separate","IN","India","Married","Woman primary-earner","Female",52,"Parent","Not in labor force","Other","Lower secondary",6,"No",5,0.61
"3272","Keep All $ Separate","IN","India","Married","Woman primary-earner","Female",47,"Parent","Not in labor force","Other","Lower secondary",7,"No",5,0.61
"3273","Keep All $ Separate","IN","India","Married","Man primary-earner","Male",32,"Parent","Not in labor force","Homemaker","Lower secondary",8,"No",5,0.61
"3274","Keep All $ Separate","IN","India","Married","Man primary-earner","Male",31,"Parent","Not in labor force","Homemaker","Lower secondary",6,"No",5,0.61
"3275","Keep All $ Separate","IN","India","Married","Man primary-earner","Male",39,"Parent","Not in labor force","Homemaker","Lower secondary",6,"No",5,0.61
"3276","Keep All $ Separate","IN","India","Married","Man primary-earner","Male",54,"Parent","Not in labor force","Homemaker","Lower secondary",6,"No",5,0.61
"3277","Keep All $ Separate","IN","India","Married","Man primary-earner","Male",30,"Parent","Not in labor force","Homemaker","Lower secondary",6,"No",5,0.61
"3278","Keep All $ Separate","IN","India","Married","Man primary-earner","Male",44,"Parent","Not in labor force","Homemaker","Lower secondary",6,"No",5,0.61
"3279","Keep All $ Separate","IN","India","Married","Equal-earners","Female",23,"Parent","Unemployed","Homemaker","Lower secondary",6,"No",7,0.61
"3280","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",41,"Parent","Parttime","Other","Upper level tertiary",5,"No",6,0.121
"3281","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",49,"Parent","Parttime","Homemaker","Lower secondary",4,"No",6,0.121
"3282","Keep All $ Separate","IE","Ireland","Married","Man primary-earner","Male",33,"Parent","Fulltime","Other","Lower level tertiary",4,"Yes, she worked for pay",6,0.121
"3283","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",33,"Parent","Parttime","Homemaker","Upper level tertiary",4,"Yes, she worked for pay",6,0.121
"3284","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Male",51,"Parent","Fulltime","Other","Lower level tertiary",7,"No",7,0.121
"3285","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Female",51,"Parent","Parttime","Homemaker","Upper secondary",2,"Yes, she worked for pay",6,0.121
"3286","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",54,"Nonparent","Parttime","Homemaker","Lower level tertiary",5,"Yes, she worked for pay",6,0.121
"3287","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",43,"Parent","Parttime","Homemaker","Post secondary",3,"Yes, she worked for pay",7,0.121
"3288","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",33,"Parent","Parttime","Homemaker","Post secondary",4,"Yes, she worked for pay",7,0.121
"3289","Keep All $ Separate","IE","Ireland","Married","Man primary-earner","Female",39,"Parent","Not in labor force","Homemaker","Upper level tertiary",2,"No",6,0.121
"3290","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",34,"Parent","Fulltime","Other","Post secondary",5,"No",7,0.121
"3291","Manage $ Together","IE","Ireland","Married","Equal-earners","Female",51,"Nonparent","Fulltime","Homemaker","Lower level tertiary",3,"Yes, she worked for pay",5,0.121
"3292","One $ Manager","IE","Ireland","Married","Man primary-earner","Female",42,"Parent","Not in labor force","Homemaker","Upper level tertiary",2,"Yes, she worked for pay",6,0.121
"3293","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",44,"Parent","Not in labor force","Homemaker","Post secondary",0,"Yes, she worked for pay",5,0.121
"3294","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Female",51,"Nonparent","Fulltime","Other","Upper secondary",4,"Yes, she worked for pay",5,0.121
"3295","One $ Manager","IE","Ireland","Married","Man primary-earner","Female",53,"Parent","Not in labor force","Homemaker","Lower secondary",0,"No",6,0.121
"3296","Manage $ Together","IE","Ireland","Married","Man primary-earner","Male",47,"Parent","Fulltime","Homemaker","Lower level tertiary",4,"No",6,0.121
"3297","Manage $ Together","IE","Ireland","Married","Equal-earners","Female",54,"Parent","Fulltime","Other","Lower level tertiary",5,"No",6,0.121
"3298","Manage $ Together","IE","Ireland","Married","Man primary-earner","Male",51,"Parent","Fulltime","Other","Upper secondary",3,"No",7,0.121
"3299","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",46,"Parent","Parttime","Homemaker","Post secondary",3,"Yes, she worked for pay",7,0.121
"3300","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",36,"Parent","Fulltime","Other","Lower level tertiary",5,"Yes, she worked for pay",6,0.121
"3301","One $ Manager","IE","Ireland","Married","Man primary-earner","Female",39,"Nonparent","Not in labor force","Other","Post secondary",2,"No",5,0.121
"3302","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",41,"Parent","Parttime","Homemaker","Post secondary",1,"No",7,0.121
"3303","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Male",49,"Parent","Not in labor force","Other","Lower secondary",4,"No",5,0.121
"3304","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",45,"Parent","Parttime","Other","Lower level tertiary",6,"Yes, she worked for pay",6,0.121
"3305","One $ Manager","IE","Ireland","Married","Woman primary-earner","Female",51,"Nonparent","Parttime","Homemaker","Post secondary",5,"No",6,0.121
"3306","Keep Some $ Separate","IE","Ireland","Married","Woman primary-earner","Male",43,"Parent","Student","Other","Lower level tertiary",6,"No",4,0.121
"3307","One $ Manager","IE","Ireland","Married","Man primary-earner","Female",50,"Nonparent","Unemployed","Homemaker","Lower secondary",3,"No",7,0.121
"3308","Keep All $ Separate","IE","Ireland","Married","Woman primary-earner","Female",43,"Parent","Fulltime","Other","Upper level tertiary",9,"Yes, she worked for pay",6,0.121
"3309","One $ Manager","IE","Ireland","Cohab","Equal-earners","Female",30,"Parent","Parttime","Other","Post secondary",4,"Yes, she worked for pay",5,0.121
"3310","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",33,"Parent","Not in labor force","Homemaker","Post secondary",4,"Yes, she worked for pay",6,0.121
"3311","Manage $ Together","IE","Ireland","Married","Equal-earners","Male",25,"Nonparent","Unemployed","Other","Upper secondary",8,"Yes, she worked for pay",4,0.121
"3312","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Female",31,"Parent","Not in labor force","Other","Lower secondary",5,"No",7,0.121
"3313","One $ Manager","IE","Ireland","Married","Equal-earners","Female",52,"Parent","Not in labor force","Homemaker","Upper secondary",0,"Yes, she worked for pay",2,0.121
"3314","Manage $ Together","IE","Ireland","Cohab","Man primary-earner","Female",27,"Nonparent","Fulltime","Other","Upper level tertiary",7,"No",6,0.121
"3315","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",41,"Parent","Parttime","Homemaker","Upper level tertiary",4,"No",6,0.121
"3316","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",36,"Parent","Parttime","Homemaker","Upper secondary",2,"Yes, she worked for pay",6,0.121
"3317","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",45,"Parent","Parttime","Homemaker","Post secondary",0,"No",5,0.121
"3318","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",45,"Nonparent","Not in labor force","Other","Lower level tertiary",2,"Yes, she worked for pay",4,0.121
"3319","Manage $ Together","IE","Ireland","Married","Man primary-earner","Male",52,"Parent","Fulltime","Homemaker","Upper secondary",8,"Yes, she worked for pay",5,0.121
"3320","One $ Manager","IE","Ireland","Married","Man primary-earner","Female",49,"Parent","Not in labor force","Homemaker","No formal education",1,"No",5,0.121
"3321","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",54,"Nonparent","Unemployed","Other","Upper secondary",2,"No",7,0.121
"3322","Keep Some $ Separate","IE","Ireland","Married","Woman primary-earner","Female",47,"Parent","Parttime","Homemaker","Post secondary",2,"No",6,0.121
"3323","Manage $ Together","IE","Ireland","Married","Man primary-earner","Male",37,"Parent","Fulltime","Other","Lower level tertiary",6,"Yes, she worked for pay",5,0.121
"3324","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Male",28,"Nonparent","Fulltime","Other","Upper secondary",5,"Yes, she worked for pay",7,0.121
"3325","Manage $ Together","IE","Ireland","Married","Equal-earners","Female",43,"Parent","Not in labor force","Other","Lower level tertiary",4,"No",6,0.121
"3326","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",50,"Nonparent","Not in labor force","Homemaker","Post secondary",2,"No",6,0.121
"3327","One $ Manager","IE","Ireland","Married","Man primary-earner","Female",39,"Parent","Parttime","Homemaker","Post secondary",2,"No",6,0.121
"3328","Manage $ Together","IE","Ireland","Married","Equal-earners","Female",43,"Nonparent","Fulltime","Other","Upper level tertiary",3,"Yes, she worked for pay",6,0.121
"3329","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Female",52,"Parent","Fulltime","Other","Upper level tertiary",6,"No",6,0.121
"3330","Keep Some $ Separate","IE","Ireland","Married","Woman primary-earner","Male",40,"Nonparent","Fulltime","Other","Lower level tertiary",4,"Yes, she worked for pay",5,0.121
"3331","Keep Some $ Separate","IE","Ireland","Cohab","Man primary-earner","Female",27,"Nonparent","Fulltime","Other","Upper level tertiary",3,"Yes, she worked for pay",2,0.121
"3332","Keep All $ Separate","IE","Ireland","Married","Man primary-earner","Male",41,"Parent","Fulltime","Other","Lower secondary",9,"Yes, she worked for pay",5,0.121
"3333","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",49,"Parent","Parttime","Homemaker","Post secondary",3,"Yes, she worked for pay",6,0.121
"3334","One $ Manager","IE","Ireland","Married","Man primary-earner","Female",51,"Parent","Parttime","Homemaker","Post secondary",1,"No",6,0.121
"3335","One $ Manager","IE","Ireland","Married","Man primary-earner","Female",31,"Nonparent","Not in labor force","Other","Upper level tertiary",7,"No",7,0.121
"3336","One $ Manager","IE","Ireland","Married","Man primary-earner","Female",54,"Nonparent","Not in labor force","Homemaker","Upper secondary",0,"No",4,0.121
"3337","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",40,"Parent","Not in labor force","Homemaker","Upper secondary",5,"No",4,0.121
"3338","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",48,"Nonparent","Not in labor force","Other","Lower level tertiary",2,"Yes, she worked for pay",6,0.121
"3339","One $ Manager","IE","Ireland","Married","Equal-earners","Female",40,"Parent","Fulltime","Other","Upper secondary",3,"No",4,0.121
"3340","One $ Manager","IE","Ireland","Married","Man primary-earner","Female",39,"Nonparent","Not in labor force","Other","Lower level tertiary",1,"Yes, she worked for pay",5,0.121
"3341","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",31,"Parent","Parttime","Homemaker","Upper secondary",3,"No",6,0.121
"3342","One $ Manager","IE","Ireland","Married","Man primary-earner","Male",53,"Nonparent","Fulltime","Homemaker","Lower level tertiary",4,"Yes, she worked for pay",5,0.121
"3343","Keep All $ Separate","IE","Ireland","Married","Man primary-earner","Male",52,"Parent","Fulltime","Homemaker","Upper level tertiary",6,"No",6,0.121
"3344","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",38,"Parent","Parttime","Homemaker","Lower level tertiary",3,"Yes, she worked for pay",6,0.121
"3345","Keep All $ Separate","IE","Ireland","Married","Man primary-earner","Female",54,"Nonparent","Not in labor force","Homemaker","Post secondary",3,"No",6,0.121
"3346","One $ Manager","IE","Ireland","Married","Equal-earners","Female",45,"Parent","Fulltime","Other","Post secondary",1,"Yes, she worked for pay",5,0.121
"3347","Keep All $ Separate","IE","Ireland","Married","Woman primary-earner","Male",49,"Parent","Parttime","Other","Post secondary",10,"Yes, she worked for pay",3,0.121
"3348","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",47,"Parent","Not in labor force","Homemaker","Post secondary",2,"Yes, she worked for pay",3,0.121
"3349","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",30,"Parent","Student","Homemaker","Upper level tertiary",1,"Yes, she worked for pay",7,0.121
"3350","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",41,"Parent","Parttime","Homemaker","Upper level tertiary",3,"Yes, she worked for pay",6,0.121
"3351","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",51,"Nonparent","Parttime","Homemaker","Upper secondary",4,"Yes, she worked for pay",6,0.121
"3352","Keep Some $ Separate","IE","Ireland","Cohab","Equal-earners","Male",51,"Nonparent","Parttime","Other","Lower level tertiary",6,"Yes, she worked for pay",6,0.121
"3353","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",48,"Parent","Parttime","Homemaker","Lower level tertiary",5,"No",6,0.121
"3354","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Male",32,"Nonparent","Fulltime","Other","Upper level tertiary",5,"Yes, she worked for pay",7,0.121
"3355","Keep Some $ Separate","IE","Ireland","Married","Equal-earners","Male",40,"Nonparent","Fulltime","Other","Upper level tertiary",6,"No",7,0.121
"3356","Keep Some $ Separate","IE","Ireland","Married","Woman primary-earner","Female",29,"Nonparent","Fulltime","Other","Upper secondary",9,"No",5,0.121
"3357","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",34,"Parent","Fulltime","Other","Post secondary",3,"Yes, she worked for pay",7,0.121
"3358","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",54,"Nonparent","Not in labor force","Other","Lower secondary",2,"Yes, she worked for pay",7,0.121
"3359","Manage $ Together","IE","Ireland","Married","Man primary-earner","Male",51,"Nonparent","Fulltime","Other","Upper secondary",4,"No",7,0.121
"3360","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",37,"Parent","Not in labor force","Other","Upper level tertiary",0,"Yes, she worked for pay",6,0.121
"3361","Keep Some $ Separate","IE","Ireland","Cohab","Man primary-earner","Female",40,"Parent","Student","Other","Upper level tertiary",7,"No",6,0.121
"3362","Keep All $ Separate","IE","Ireland","Cohab","Man primary-earner","Male",26,"Parent","Fulltime","Homemaker","Upper level tertiary",3,"Yes, she worked for pay",6,0.121
"3363","Manage $ Together","IE","Ireland","Married","Equal-earners","Female",42,"Parent","Parttime","Homemaker","Lower level tertiary",4,"No",6,0.121
"3364","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",36,"Parent","Not in labor force","Homemaker","Lower level tertiary",1,"Yes, she worked for pay",6,0.121
"3365","Manage $ Together","IE","Ireland","Married","Equal-earners","Female",36,"Parent","Parttime","Other","Upper level tertiary",6,"Yes, she worked for pay",5,0.121
"3366","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",32,"Parent","Fulltime","Other","Upper level tertiary",0,"Yes, she worked for pay",6,0.121
"3367","Manage $ Together","IE","Ireland","Cohab","Equal-earners","Female",39,"Parent","Parttime","Homemaker","Upper secondary",4,"Yes, she worked for pay",5,0.121
"3368","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Male",37,"Parent","Fulltime","Other","Upper level tertiary",6,"Yes, she worked for pay",5,0.121
"3369","Keep Some $ Separate","IE","Ireland","Married","Woman primary-earner","Male",32,"Parent","Student","Other","Post secondary",7,"Yes, she worked for pay",7,0.121
"3370","One $ Manager","IE","Ireland","Married","Man primary-earner","Male",36,"Parent","Fulltime","Homemaker","Upper level tertiary",6,"No",7,0.121
"3371","One $ Manager","IE","Ireland","Married","Man primary-earner","Male",38,"Parent","Fulltime","Other","Upper secondary",8,"No",6,0.121
"3372","One $ Manager","IE","Ireland","Married","Man primary-earner","Female",32,"Parent","Fulltime","Homemaker","Lower secondary",4,"No",3,0.121
"3373","Keep All $ Separate","IE","Ireland","Cohab","Woman primary-earner","Female",40,"Parent","Fulltime","Other","Upper level tertiary",7,"No",7,0.121
"3374","Keep All $ Separate","IE","Ireland","Married","Woman primary-earner","Female",44,"Nonparent","Fulltime","Homemaker","Upper level tertiary",2,"No",6,0.121
"3375","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",31,"Nonparent","Unemployed","Other","Lower secondary",7,"Yes, she worked for pay",6,0.121
"3376","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Male",40,"Parent","Fulltime","Other","Lower secondary",6,"No",6,0.121
"3377","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",35,"Parent","Unemployed","Homemaker","Upper level tertiary",3,"Yes, she worked for pay",5,0.121
"3378","Keep All $ Separate","IE","Ireland","Married","Woman primary-earner","Female",34,"Parent","Fulltime","Other","Upper level tertiary",4,"No",7,0.121
"3379","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",37,"Parent","Not in labor force","Homemaker","Lower level tertiary",2,"No",6,0.121
"3380","Keep Some $ Separate","IE","Ireland","Married","Woman primary-earner","Female",37,"Parent","Fulltime","Other","Upper level tertiary",5,"Yes, she worked for pay",5,0.121
"3381","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",40,"Parent","Not in labor force","Homemaker","Lower level tertiary",5,"Yes, she worked for pay",6,0.121
"3382","One $ Manager","IE","Ireland","Married","Equal-earners","Female",33,"Parent","Not in labor force","Homemaker","Upper secondary",5,"Yes, she worked for pay",7,0.121
"3383","Keep All $ Separate","IE","Ireland","Married","Man primary-earner","Female",30,"Nonparent","Fulltime","Other","Upper level tertiary",4,"Yes, she worked for pay",6,0.121
"3384","One $ Manager","IE","Ireland","Married","Woman primary-earner","Female",47,"Nonparent","Fulltime","Other","Upper level tertiary",6,"Yes, she worked for pay",7,0.121
"3385","Manage $ Together","IE","Ireland","Married","Equal-earners","Female",35,"Parent","Unemployed","Homemaker","Upper level tertiary",5,"Yes, she worked for pay",5,0.121
"3386","Keep Some $ Separate","IE","Ireland","Married","Woman primary-earner","Male",33,"Parent","Fulltime","Other","Upper level tertiary",9,"Yes, she worked for pay",6,0.121
"3387","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Male",42,"Parent","Fulltime","Homemaker","Post secondary",7,"No",7,0.121
"3388","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Male",43,"Parent","Fulltime","Homemaker","Lower level tertiary",3,"Yes, she worked for pay",6,0.121
"3389","Keep Some $ Separate","IE","Ireland","Married","Woman primary-earner","Female",40,"Nonparent","Fulltime","Other","Post secondary",7,"No",6,0.121
"3390","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Male",41,"Parent","Not in labor force","Other","Post secondary",10,"No",6,0.121
"3391","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Male",29,"Parent","Fulltime","Homemaker","Post secondary",6,"Yes, she worked for pay",6,0.121
"3392","Manage $ Together","IE","Ireland","Married","Equal-earners","Female",43,"Parent","Fulltime","Homemaker","Post secondary",6,"Yes, she worked for pay",6,0.121
"3393","Manage $ Together","IE","Ireland","Cohab","Man primary-earner","Male",30,"Parent","Parttime","Homemaker","Post secondary",9,"Yes, she worked for pay",5,0.121
"3394","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",43,"Parent","Not in labor force","Other","Upper level tertiary",0,"Yes, she worked for pay",6,0.121
"3395","One $ Manager","IE","Ireland","Cohab","Equal-earners","Female",26,"Parent","Student","Homemaker","Post secondary",9,"Yes, she worked for pay",5,0.121
"3396","Keep All $ Separate","IE","Ireland","Married","Man primary-earner","Female",33,"Parent","Unemployed","Homemaker","Upper level tertiary",1,"Yes, she worked for pay",6,0.121
"3397","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",36,"Parent","Parttime","Homemaker","Post secondary",3,"Yes, she worked for pay",6,0.121
"3398","Keep Some $ Separate","IE","Ireland","Married","Equal-earners","Female",37,"Parent","Fulltime","Other","Lower level tertiary",3,"No",6,0.121
"3399","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",52,"Parent","Parttime","Homemaker","Post secondary",5,"No",5,0.121
"3400","Keep Some $ Separate","IE","Ireland","Married","Equal-earners","Female",39,"Parent","Fulltime","Other","Lower level tertiary",5,"Yes, she worked for pay",7,0.121
"3401","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",53,"Parent","Not in labor force","Homemaker","Post secondary",1,"No",6,0.121
"3402","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",54,"Nonparent","Unemployed","Homemaker","Lower secondary",3,"Yes, she worked for pay",7,0.121
"3403","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",36,"Nonparent","Parttime","Other","Lower level tertiary",4,"Yes, she worked for pay",6,0.121
"3404","Keep Some $ Separate","IE","Ireland","Married","Woman primary-earner","Female",33,"Nonparent","Fulltime","Other","Lower level tertiary",4,"No",6,0.121
"3405","Manage $ Together","IE","Ireland","Married","Man primary-earner","Male",54,"Nonparent","Fulltime","Homemaker","Upper level tertiary",4,"No",5,0.121
"3406","One $ Manager","IE","Ireland","Cohab","Equal-earners","Female",35,"Parent","Not in labor force","Homemaker","Upper secondary",3,"Yes, she worked for pay",5,0.121
"3407","One $ Manager","IE","Ireland","Married","Equal-earners","Female",41,"Parent","Not in labor force","Homemaker","Lower secondary",5,"No",5,0.121
"3408","One $ Manager","IE","Ireland","Married","Man primary-earner","Male",52,"Parent","Fulltime","Homemaker","Lower secondary",5,"No",7,0.121
"3409","Keep All $ Separate","IE","Ireland","Married","Woman primary-earner","Female",42,"Parent","Fulltime","Other","Upper secondary",2,"No",7,0.121
"3410","Keep All $ Separate","IE","Ireland","Married","Man primary-earner","Female",50,"Parent","Fulltime","Other","Upper level tertiary",5,"Yes, she worked for pay",5,0.121
"3411","Manage $ Together","IE","Ireland","Married","Man primary-earner","Male",43,"Parent","Student","Homemaker","Upper level tertiary",5,"Yes, she worked for pay",7,0.121
"3412","Keep All $ Separate","IE","Ireland","Married","Woman primary-earner","Female",35,"Parent","Fulltime","Other","Upper level tertiary",6,"Yes, she worked for pay",5,0.121
"3413","One $ Manager","IE","Ireland","Cohab","Equal-earners","Female",30,"Parent","Not in labor force","Homemaker","Lower level tertiary",3,"Yes, she worked for pay",5,0.121
"3414","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Female",43,"Parent","Fulltime","Homemaker","Post secondary",7,"No",5,0.121
"3415","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Male",20,"Parent","Fulltime","Other","Upper level tertiary",2,"Yes, she worked for pay",6,0.121
"3416","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",36,"Parent","Fulltime","Other","Upper level tertiary",6,"No",7,0.121
"3417","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",35,"Parent","Fulltime","Other","Post secondary",4,"No",6,0.121
"3418","One $ Manager","IE","Ireland","Married","Woman primary-earner","Female",38,"Parent","Fulltime","Other","Upper level tertiary",9,"Yes, she worked for pay",6,0.121
"3419","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Female",32,"Parent","Fulltime","Other","Post secondary",3,"Yes, she worked for pay",6,0.121
"3420","Keep Some $ Separate","IE","Ireland","Cohab","Equal-earners","Female",25,"Nonparent","Fulltime","Other","Upper level tertiary",4,"No",6,0.121
"3421","Keep All $ Separate","IE","Ireland","Cohab","Equal-earners","Female",28,"Nonparent","Parttime","Other","Upper level tertiary",5,"Yes, she worked for pay",7,0.121
"3422","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Female",26,"Parent","Fulltime","Other","Post secondary",7,"Yes, she worked for pay",7,0.121
"3423","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",37,"Parent","Parttime","Homemaker","Lower level tertiary",0,"No",5,0.121
"3424","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",36,"Parent","Parttime","Other","Upper level tertiary",7,"No",6,0.121
"3425","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Male",41,"Parent","Parttime","Homemaker","Upper secondary",10,"Yes, she worked for pay",6,0.121
"3426","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Female",54,"Parent","Fulltime","Other","Upper level tertiary",4,"No",5,0.121
"3427","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",36,"Parent","Fulltime","Other","Lower level tertiary",3,"Yes, she worked for pay",5,0.121
